County,State,Total population,Median age,Total population 18 and over,Total population 65 years and over,Male population,Female population,Location 1
Autauga County,Alabama,54571,37,39958,6546,26569,28002,"(32.533470000000001, -86.649979999999999)"
Baldwin County,Alabama,182265,41.1,140367,30568,89196,93069,"(30.75047, -87.766660000000002)"
Barbour County,Alabama,27457,39,21442,3909,14576,12881,"(31.883489999999998, -85.449939999999998)"
Bibb County,Alabama,22915,37.799999999999997,17714,2906,12301,10614,"(33.000399999999999, -87.15)"
Blount County,Alabama,57322,39,43216,8439,28362,28960,"(33.966769999999997, -86.583320000000001)"
Bullock County,Alabama,10914,38.5,8484,1469,5912,5002,"(32.06682, -85.699950000000001)"
Butler County,Alabama,20947,40.1,15891,3489,9838,11109,"(31.829319999999999, -86.620810000000006)"
Calhoun County,Alabama,118572,38.200000000000003,91446,16990,57176,61396,"(33.75038, -85.849969999999999)"
Chambers County,Alabama,34215,41.5,26512,5706,16363,17852,"(32.883459999999999, -85.399950000000004)"
Cherokee County,Alabama,25989,43.9,20423,4651,12888,13101,"(34.183430000000001, -85.449960000000004)"
Chilton County,Alabama,43643,37.6,32683,5921,21608,22035,"(32.866790000000002, -86.683319999999995)"
Choctaw County,Alabama,13859,43.4,10718,2519,6688,7171,"(32.01681, -88.266689999999997)"
Clarke County,Alabama,25833,40.200000000000003,19444,4174,12214,13619,"(31.683489999999999, -87.8)"
Clay County,Alabama,13932,42,10788,2449,6833,7099,"(33.266779999999997, -85.849959999999996)"
Cleburne County,Alabama,14972,40.6,11421,2361,7453,7519,"(33.66677, -85.516620000000003)"
Coffee County,Alabama,49948,37.6,37864,7210,24684,25264,"(31.416830000000001, -86.000219999999999)"
Colbert County,Alabama,54428,41.8,42394,9463,26159,28269,"(34.683419999999998, -87.816699999999997)"
Conecuh County,Alabama,13228,43,10186,2362,6412,6816,"(31.466830000000002, -86.983310000000003)"
Coosa County,Alabama,11539,44.2,9169,1970,5727,5812,"(32.933459999999997, -86.249690000000001)"
Covington County,Alabama,37765,42.4,29242,6939,18288,19477,"(31.266839999999998, -86.449960000000004)"
Crenshaw County,Alabama,13906,40.700000000000003,10598,2210,6714,7192,"(31.73349, -86.316630000000004)"
Cullman County,Alabama,80406,39.9,61765,12810,39719,40687,"(34.133429999999997, -86.866669999999999)"
Dale County,Alabama,50251,36.1,37774,6759,24825,25426,"(31.45017, -85.649940000000001)"
Dallas County,Alabama,43820,37.700000000000003,32225,6165,20244,23576,"(32.333469999999998, -87.083320000000001)"
DeKalb County,Alabama,71109,37.5,52743,9875,35113,35996,"(34.450090000000003, -85.783299999999997)"
Elmore County,Alabama,79303,37.799999999999997,60596,9436,38689,40614,"(32.583469999999998, -86.149969999999996)"
Escambia County,Alabama,38319,39.200000000000003,29640,5812,19766,18553,"(31.150179999999999, -87.149969999999996)"
Etowah County,Alabama,104430,40.200000000000003,80444,16508,50626,53804,"(34.066760000000002, -86.049970000000002)"
Fayette County,Alabama,17241,42.5,13404,3084,8507,8734,"(33.733440000000002, -87.716679999999997)"
Franklin County,Alabama,31704,37.799999999999997,23837,4825,15828,15876,"(34.450099999999999, -87.850030000000004)"
Geneva County,Alabama,26790,42,20799,4674,13105,13685,"(31.100180000000002, -85.849940000000004)"
Greene County,Alabama,9045,41.8,6851,1454,4271,4774,"(32.85013, -87.983350000000002)"
Hale County,Alabama,15760,40,11845,2370,7466,8294,"(32.758740000000003, -87.633340000000004)"
Henry County,Alabama,17302,42.8,13384,3044,8302,9000,"(31.500450000000001, -85.250209999999996)"
Houston County,Alabama,101547,38.5,76621,14675,48740,52807,"(31.150179999999999, -85.316599999999994)"
Jackson County,Alabama,53227,41.4,41242,8773,26139,27088,"(34.766750000000002, -86.000259999999997)"
Jefferson County,Alabama,658466,37.1,503938,86443,311813,346653,"(33.583440000000003, -86.866659999999996)"
Lamar County,Alabama,14564,43.5,11337,2732,7097,7467,"(33.751779999999997, -88.116699999999994)"
Lauderdale County,Alabama,92709,40.4,72727,15553,44379,48330,"(34.900089999999999, -87.633359999999996)"
Lawrence County,Alabama,34339,40.6,26375,4999,16791,17548,"(34.533430000000003, -87.333349999999996)"
Lee County,Alabama,140247,29.5,108656,12716,69126,71121,"(32.600140000000003, -85.399950000000004)"
Limestone County,Alabama,82782,38.4,62923,10187,41910,40872,"(34.800089999999997, -86.983339999999998)"
Lowndes County,Alabama,11299,40.6,8567,1655,5289,6010,"(32.15014, -86.633309999999994)"
Macon County,Alabama,21452,36.299999999999997,17032,3031,9826,11626,"(32.40014, -85.81662)"
Madison County,Alabama,334811,37.299999999999997,255321,40873,164320,170491,"(34.733420000000002, -86.566659999999999)"
Marengo County,Alabama,21027,40.4,15836,3424,9913,11114,"(32.250419999999998, -87.766679999999994)"
Marion County,Alabama,30776,42.8,24111,5645,15293,15483,"(34.133429999999997, -87.866699999999994)"
Marshall County,Alabama,93019,38.200000000000003,69760,13862,45843,47176,"(34.383420000000001, -86.333320000000001)"
Mobile County,Alabama,412992,36.6,309411,53321,198374,214618,"(30.783519999999999, -88.2)"
Monroe County,Alabama,23068,40.1,17227,3618,11109,11959,"(31.583490000000001, -87.333320000000001)"
Montgomery County,Alabama,229363,34.9,173196,27421,109167,120196,"(32.23348, -86.2333)"
Morgan County,Alabama,119490,39,90866,16871,58886,60604,"(34.450090000000003, -86.85)"
Perry County,Alabama,10591,37.200000000000003,8038,1769,4980,5611,"(32.650129999999997, -87.3)"
Pickens County,Alabama,19746,41.9,15145,3336,9428,10318,"(33.283450000000002, -88.083359999999999)"
Pike County,Alabama,32899,31.4,26217,4211,15700,17199,"(31.81682, -85.949950000000001)"
Randolph County,Alabama,22913,41.2,17440,3888,11104,11809,"(33.30012, -85.466620000000006)"
Russell County,Alabama,52947,35.799999999999997,39448,6720,25287,27660,"(32.350149999999999, -85.199939999999998)"
St. Clair County,Alabama,83593,38.6,63767,10909,41904,41689,"(33.266779999999997, -86.666650000000004)"
Shelby County,Alabama,195085,36.9,145123,20627,95557,99528,"(33.266779999999997, -86.666650000000004)"
Sumter County,Alabama,13763,37.700000000000003,10695,2063,6261,7502,"(32.466799999999999, -88.200029999999998)"
Talladega County,Alabama,82291,39.299999999999997,63006,11591,40077,42214,"(33.366779999999999, -86.183310000000006)"
Tallapoosa County,Alabama,41616,42.4,32397,7193,20190,21426,"(32.816789999999997, -85.833290000000005)"
Tuscaloosa County,Alabama,194656,31.2,152870,21050,94400,100256,"(33.30012, -87.500280000000004)"
Walker County,Alabama,67023,41.2,51916,10894,32668,34355,"(33.800109999999997, -87.3)"
Washington County,Alabama,17581,39.700000000000003,13097,2590,8656,8925,"(31.400169999999999, -88.166669999999996)"
Wilcox County,Alabama,11670,38.799999999999997,8520,1752,5518,6152,"(31.98348, -87.333320000000001)"
Winston County,Alabama,24484,43.1,19185,4333,12021,12463,"(34.150100000000002, -87.366680000000002)"
Aleutians East Borough,Alaska,3141,42.1,2770,155,2093,1048,"(54.85, -163.41667000000001)"
Aleutians West Census Area,Alaska,5561,40.700000000000003,4746,193,3723,1838,"(52.242780000000003, -175.12971999999999)"
Anchorage Municipality,Alaska,291826,32.9,216040,21139,148209,143617,"(61.166670000000003, -149.25056000000001)"
Bethel Census Area,Alaska,17013,26.2,10795,1041,8898,8115,"(60.75056, -160.50056000000001)"
Bristol Bay Borough,Alaska,997,42.8,772,83,540,457,"(58.75056, -156.83332999999999)"
Denali Borough,Alaska,1826,41.5,1415,137,1002,824,"(63.788890000000002, -150.19166999999999)"
Dillingham Census Area,Alaska,4847,29,3252,367,2541,2306,"(58.75056, -156.00056000000001)"
Fairbanks North Star Borough,Alaska,97581,31,72580,6375,51531,46050,"(64.833330000000004, -146.41667000000001)"
Haines Borough,Alaska,2508,46.9,2009,345,1274,1234,"(59.25056, -135.50056000000001)"
Hoonah-Angoon Census Area,Alaska,2150,46,1726,288,1165,985,"(57.948070000000001, -134.94153)"
Juneau City and Borough,Alaska,31275,38.1,23939,2635,15950,15325,"(58.416670000000003, -134.33332999999999)"
Kenai Peninsula Borough,Alaska,55400,40.6,42289,6276,29038,26362,"(60.416670000000003, -151.25056000000001)"
Ketchikan Gateway Borough,Alaska,13477,38.4,10250,1367,6911,6566,"(55.50056, -131.41667000000001)"
Kodiak Island Borough,Alaska,13592,32.5,9698,915,7197,6395,"(57.333329999999997, -153.33332999999999)"
Lake and Peninsula Borough,Alaska,1631,30.8,1139,127,859,772,"(57.00056, -158.00056000000001)"
Matanuska-Susitna Borough,Alaska,88995,34.799999999999997,63276,7069,46040,42955,"(62.50056, -150.00556)"
Nome Census Area,Alaska,9492,27.6,6233,603,5058,4434,"(64.833330000000004, -163.75056000000001)"
North Slope Borough,Alaska,9430,35.1,7179,402,5904,3526,"(69.250559999999993, -152.00056000000001)"
Northwest Arctic Borough,Alaska,7523,25.7,4868,455,4029,3494,"(66.833330000000004, -161.00056000000001)"
Petersburg Census Area,Alaska,3815,41.5,2924,438,1982,1833,"(56.76529, -133.19313)"
Prince of Wales-Hyder Census Area,Alaska,5559,39.9,4135,559,3070,2489,"(56.76529, -133.19313)"
Sitka City and Borough,Alaska,8881,38.200000000000003,6791,1008,4481,4400,"(57.166670000000003, -135.33332999999999)"
Skagway Municipality,Alaska,968,41.2,816,88,500,468,"(59.468519999999998, -135.30596)"
Southeast Fairbanks Census Area,Alaska,7029,37.4,5180,664,3917,3112,"(63.75056, -143.25056000000001)"
Valdez-Cordova Census Area,Alaska,9636,39.799999999999997,7288,798,5143,4493,"(61.50056, -144.50056000000001)"
Wade Hampton Census Area,Alaska,7459,21.9,4358,404,3944,3515,"(62.25056, -163.00056000000001)"
Wrangell City and Borough,Alaska,2369,46.7,1849,374,1242,1127,"(62.25056, -163.00056000000001)"
Yakutat City and Borough,Alaska,662,39.700000000000003,500,64,360,302,"(59.666670000000003, -139.13333)"
Yukon-Koyukuk Census Area,Alaska,5588,35.299999999999997,4036,569,3027,2561,"(65.7, -152.71666999999999)"
Apache County,Arizona,71518,32.4,48858,8268,35678,35840,"(35.008360000000003, -109.37566)"
Cochise County,Arizona,131346,39.700000000000003,101096,22688,66977,64369,"(31.932030000000001, -109.74229)"
Coconino County,Arizona,134421,31,102633,11924,66666,67755,"(36.083320000000001, -112.13406000000001)"
Gila County,Arizona,53597,47.9,42126,12450,26633,26964,"(33.516719999999999, -110.51733)"
Graham County,Arizona,37220,31.6,26645,4261,19977,17243,"(33.016730000000003, -110.01730999999999)"
Greenlee County,Arizona,8437,34.799999999999997,5974,1016,4398,4039,"(33.375059999999998, -109.37563)"
La Paz County,Arizona,20489,53.9,16811,6683,10550,9939,"(33.625590000000003, -113.87633)"
Maricopa County,Arizona,3817117,34.6,2809256,462641,1888465,1928652,"(33.500039999999998, -112.50072)"
Mohave County,Arizona,200186,47.6,158921,46658,100078,100108,"(36.083320000000001, -113.76745)"
Navajo County,Arizona,107449,34.700000000000003,75476,14241,53777,53672,"(36.9375, -110.81319000000001)"
Pima County,Arizona,980263,37.700000000000003,754947,151293,481437,498826,"(32.000349999999997, -112.00346)"
Pinal County,Arizona,375770,35.299999999999997,276070,52071,197165,178605,"(33.000619999999998, -111.51734999999999)"
Santa Cruz County,Arizona,47420,35.6,32860,6224,22559,24861,"(31.58343, -110.58396999999999)"
Yavapai County,Arizona,211033,49.2,170764,50767,103458,107575,"(34.508360000000003, -112.37572)"
Yuma County,Arizona,195751,33.799999999999997,140566,30646,98005,97746,"(32.751440000000002, -113.76743)"
Arkansas County,Arkansas,19019,40.700000000000003,14594,3115,9220,9799,"(34.316769999999998, -91.400120000000001)"
Ashley County,Arkansas,21853,40.299999999999997,16523,3544,10598,11255,"(33.183450000000001, -91.783460000000005)"
Baxter County,Arkansas,41513,50.6,34007,11659,20023,21490,"(36.333399999999997, -92.366829999999993)"
Benton County,Arkansas,221339,34.299999999999997,159491,26986,109124,112215,"(36.333410000000001, -94.333539999999999)"
Boone County,Arkansas,36903,41.4,28318,6673,18066,18837,"(36.300069999999998, -93.154619999999994)"
Bradley County,Arkansas,11508,40.299999999999997,8827,2041,5587,5921,"(33.433450000000001, -92.166809999999998)"
Calhoun County,Arkansas,5368,43.4,4266,923,2719,2649,"(33.566780000000001, -92.500429999999994)"
Carroll County,Arkansas,27446,44,21263,5131,13531,13915,"(36.333399999999997, -93.516850000000005)"
Chicot County,Arkansas,11800,41.8,9076,2149,5793,6007,"(33.283450000000002, -91.300110000000004)"
Clark County,Arkansas,22995,33.5,18515,3410,10972,12023,"(34.0501, -93.166839999999993)"
Clay County,Arkansas,16083,43.2,12493,3220,7871,8212,"(36.366729999999997, -90.383439999999993)"
Cleburne County,Arkansas,25970,46.8,20808,6118,12777,13193,"(35.516750000000002, -92.016819999999996)"
Cleveland County,Arkansas,8689,40.200000000000003,6538,1416,4287,4402,"(33.900100000000002, -92.200149999999994)"
Columbia County,Arkansas,24552,37,18958,3928,11715,12837,"(33.216799999999999, -93.233500000000006)"
Conway County,Arkansas,21273,40.5,16128,3592,10533,10740,"(35.250360000000001, -92.683499999999995)"
Craighead County,Arkansas,96443,33.200000000000003,72302,11740,47077,49366,"(35.816740000000003, -90.650109999999998)"
Crawford County,Arkansas,61948,37.6,45598,8233,30571,31377,"(35.583419999999997, -94.233540000000005)"
Crittenden County,Arkansas,50902,34.200000000000003,36093,5477,24166,26736,"(35.233420000000002, -90.283429999999996)"
Cross County,Arkansas,17870,39.700000000000003,13376,2759,8621,9249,"(35.300089999999997, -90.766779999999997)"
Dallas County,Arkansas,8116,42.7,6203,1474,3974,4142,"(33.966769999999997, -92.666830000000004)"
Desha County,Arkansas,13008,38.700000000000003,9631,1970,6103,6905,"(33.783439999999999, -91.316779999999994)"
Drew County,Arkansas,18509,36.9,14148,2735,8985,9524,"(33.600110000000001, -91.716800000000006)"
Faulkner County,Arkansas,113237,31.5,85495,11318,55623,57614,"(35.16675, -92.333489999999998)"
Franklin County,Arkansas,18125,39.799999999999997,13694,3007,8977,9148,"(35.550080000000001, -93.866860000000003)"
Fulton County,Arkansas,12245,47,9647,2742,5999,6246,"(36.366729999999997, -91.833479999999994)"
Garland County,Arkansas,96024,44.4,75931,20098,46614,49410,"(34.566760000000002, -93.150180000000006)"
Grant County,Arkansas,17853,39.5,13538,2591,8869,8984,"(34.283430000000003, -92.400149999999996)"
Greene County,Arkansas,42090,37.9,31500,6034,20642,21448,"(36.116729999999997, -90.550110000000004)"
Hempstead County,Arkansas,22609,37.700000000000003,16731,3396,10905,11704,"(33.71678, -93.666849999999997)"
Hot Spring County,Arkansas,32923,40.1,25237,5164,16813,16110,"(34.350090000000002, -92.900170000000003)"
Howard County,Arkansas,13789,38.4,10166,2104,6656,7133,"(34.100110000000001, -94.016859999999994)"
Independence County,Arkansas,36647,39,27855,5730,17960,18687,"(35.750349999999997, -91.566800000000001)"
Izard County,Arkansas,13696,47.3,11071,3229,7054,6642,"(36.100070000000002, -91.900149999999996)"
Jackson County,Arkansas,17997,40.5,14263,2856,8930,9067,"(35.600079999999998, -91.200130000000001)"
Jefferson County,Arkansas,77435,37.4,59007,10255,38067,39368,"(34.233429999999998, -91.900139999999993)"
Johnson County,Arkansas,25540,37.200000000000003,19211,3749,12659,12881,"(35.566749999999999, -93.450180000000003)"
Lafayette County,Arkansas,7645,43.3,5869,1483,3693,3952,"(33.26679, -93.600179999999995)"
Lawrence County,Arkansas,17415,40.9,13423,3160,8468,8947,"(36.0334, -91.116789999999995)"
Lee County,Arkansas,10424,39.799999999999997,8264,1607,5806,4618,"(34.766759999999998, -90.766779999999997)"
Lincoln County,Arkansas,14134,38,11391,1758,8501,5633,"(33.966769999999997, -91.733459999999994)"
Little River County,Arkansas,13171,41.2,10034,2253,6403,6768,"(33.700119999999998, -94.233530000000002)"
Logan County,Arkansas,22353,41.4,16862,3842,11198,11155,"(35.216760000000001, -93.700190000000006)"
Lonoke County,Arkansas,68356,35.299999999999997,49525,7625,33629,34727,"(34.766759999999998, -91.883470000000003)"
Madison County,Arkansas,15717,40.9,11916,2452,7881,7836,"(36.000349999999997, -93.700190000000006)"
Marion County,Arkansas,16653,50.1,13670,3964,8287,8366,"(36.233400000000003, -92.683499999999995)"
Miller County,Arkansas,43462,37.200000000000003,32913,5982,21401,22061,"(33.283459999999998, -93.883510000000001)"
Mississippi County,Arkansas,46480,34.9,33376,5685,22498,23982,"(35.766739999999999, -90.050089999999997)"
Monroe County,Arkansas,8149,44.2,6309,1541,3895,4254,"(34.666759999999996, -91.216790000000003)"
Montgomery County,Arkansas,9487,46.8,7489,2126,4730,4757,"(34.533430000000003, -93.650189999999995)"
Nevada County,Arkansas,8997,41.6,6866,1588,4409,4588,"(33.650120000000001, -93.333500000000001)"
Newton County,Arkansas,8330,46,6594,1701,4206,4124,"(35.933410000000002, -93.200180000000003)"
Ouachita County,Arkansas,26120,42.1,19975,4451,12379,13741,"(33.583449999999999, -92.90016)"
Perry County,Arkansas,10445,41.6,8043,1747,5183,5262,"(34.933419999999998, -92.966840000000005)"
Phillips County,Arkansas,21757,36.9,15644,3254,10130,11627,"(34.450099999999999, -90.833449999999999)"
Pike County,Arkansas,11291,40.200000000000003,8504,1962,5599,5692,"(34.150109999999998, -93.666849999999997)"
Poinsett County,Arkansas,24583,39.799999999999997,18624,3900,11937,12646,"(35.566749999999999, -90.650109999999998)"
Polk County,Arkansas,20662,43.1,15741,4025,10163,10499,"(34.500390000000003, -94.26688)"
Pope County,Arkansas,61754,35.1,47513,8113,30610,31144,"(35.45008, -93.050169999999994)"
Prairie County,Arkansas,8715,44.5,6837,1717,4314,4401,"(34.800089999999997, -91.550129999999996)"
Pulaski County,Arkansas,382748,36,290563,45908,183938,198810,"(34.766759999999998, -92.300150000000002)"
Randolph County,Arkansas,17969,41.9,13798,3361,8810,9159,"(36.350070000000002, -91.01679)"
St. Francis County,Arkansas,28258,37.200000000000003,21581,3447,15393,12865,"(36.150069999999999, -91.516810000000007)"
Saline County,Arkansas,107118,38.799999999999997,80979,15875,52899,54219,"(34.650089999999999, -92.683499999999995)"
Scott County,Arkansas,11233,39.799999999999997,8350,1915,5663,5570,"(34.866770000000002, -94.033540000000002)"
Searcy County,Arkansas,8195,46.8,6520,1745,4085,4110,"(35.900080000000003, -92.733500000000006)"
Sebastian County,Arkansas,125744,36.700000000000003,93862,16518,61633,64111,"(35.166759999999996, -94.26688)"
Sevier County,Arkansas,17058,33.700000000000003,12018,2147,8464,8594,"(33.983449999999998, -94.250479999999996)"
Sharp County,Arkansas,17264,47,13547,4134,8532,8732,"(36.150069999999999, -91.516810000000007)"
Stone County,Arkansas,12394,47.7,9839,2826,6128,6266,"(35.850070000000002, -92.183490000000006)"
Union County,Arkansas,41639,40.1,31578,6481,20259,21380,"(33.150129999999997, -92.65016)"
Van Buren County,Arkansas,17295,46.6,13758,3923,8622,8673,"(35.566740000000003, -92.483490000000003)"
Washington County,Arkansas,203065,30.7,151581,19641,101486,101579,"(35.966749999999998, -94.233540000000005)"
White County,Arkansas,77076,36,58643,10848,37802,39274,"(35.250360000000001, -91.733469999999997)"
Woodruff County,Arkansas,7260,43.3,5588,1293,3452,3808,"(35.183419999999998, -91.233459999999994)"
Yell County,Arkansas,22185,37.799999999999997,16354,3417,11070,11115,"(35.000369999999997, -93.416849999999997)"
Alameda County,California,1510271,36.6,1169650,167746,740573,769698,"(37.599930000000001, -121.8844)"
Alpine County,California,1175,46.7,919,166,606,569,"(38.599910000000001, -119.80101000000001)"
Amador County,California,38091,48.2,31698,7865,20749,17342,"(38.449910000000003, -120.65103999999999)"
Butte County,California,220000,37.200000000000003,173832,33817,108931,111069,"(39.649880000000003, -121.56775)"
Calaveras County,California,45578,49.2,36635,9565,22822,22756,"(38.166589999999999, -120.58437000000001)"
Colusa County,California,21419,33.5,15009,2495,11012,10407,"(39.183219999999999, -122.26775000000001)"
Contra Costa County,California,1049025,38.5,788520,130438,511526,537499,"(37.933259999999997, -121.9344)"
Del Norte County,California,28610,39.1,22472,3873,15907,12703,"(41.699840000000002, -123.90118)"
El Dorado County,California,181058,43.6,139883,26524,90571,90487,"(38.766570000000002, -120.5177)"
Fresno County,California,930450,30.6,652943,93421,464811,465639,"(36.666620000000002, -119.83431)"
Glenn County,California,28122,35.299999999999997,20257,3737,14191,13931,"(39.599879999999999, -122.43443000000001)"
Humboldt County,California,134623,37.1,107562,17725,67595,67028,"(40.666519999999998, -123.91783)"
Imperial County,California,174528,31.9,123430,18152,89646,84882,"(33.033380000000001, -115.41748)"
Inyo County,California,18546,45.6,14646,3535,9354,9192,"(36.583269999999999, -117.41757)"
Kern County,California,839631,30.7,585550,75437,433108,406523,"(35.29607, -118.66759)"
Kings County,California,152982,31.1,110434,12030,86344,66638,"(36.033290000000001, -119.8343)"
Lake County,California,64665,45,50993,11440,32469,32196,"(39.099890000000002, -122.78444)"
Lassen County,California,34895,37.1,28602,3474,22416,12479,"(40.666559999999997, -120.5844)"
Los Angeles County,California,9818605,34.799999999999997,7416397,1065699,4839654,4978951,"(34.366660000000003, -118.20090999999999)"
Madera County,California,150865,33,108016,17262,72682,78183,"(37.166609999999999, -119.83432000000001)"
Marin County,California,252409,44.5,200195,42192,124072,128337,"(38.066589999999998, -122.73443)"
Mariposa County,California,18251,49.2,15009,3821,9269,8982,"(37.549939999999999, -119.90101)"
Mendocino County,California,87841,41.5,68380,13493,43983,43858,"(39.416550000000001, -123.41779)"
Merced County,California,255793,29.6,175095,23960,128737,127056,"(37.166609999999999, -120.75158)"
Modoc County,California,9686,46.1,7562,1905,4878,4808,"(41.566560000000003, -120.73441)"
Mono County,California,14202,37.200000000000003,11223,1377,7548,6654,"(37.916600000000003, -118.86763999999999)"
Monterey County,California,415057,32.9,304044,44422,213431,201626,"(36.250520000000002, -121.25158999999999)"
Napa County,California,136484,39.700000000000003,104998,20594,68159,68325,"(38.483240000000002, -122.33441999999999)"
Nevada County,California,98764,47.6,79658,19174,48835,49929,"(39.349899999999998, -120.88439)"
Orange County,California,3010232,36.200000000000003,2273573,349677,1488780,1521452,"(33.700020000000002, -117.76755)"
Placer County,California,348432,40.299999999999997,263347,53562,170151,178281,"(39.066569999999999, -120.76770999999999)"
Plumas County,California,20007,49.6,16406,4154,10003,10004,"(39.983229999999999, -120.86772999999999)"
Riverside County,California,2189641,33.700000000000003,1569533,258586,1089576,1100065,"(33.733350000000002, -116.05083)"
Sacramento County,California,1418788,34.799999999999997,1055735,158551,694793,723995,"(38.46658, -121.31773)"
San Benito County,California,55269,34.299999999999997,39203,5360,27629,27640,"(36.616630000000001, -121.08436)"
San Bernardino County,California,2035210,31.7,1440622,181348,1011507,1023703,"(34.66666, -116.16750999999999)"
San Diego County,California,3095313,34.6,2371145,351425,1553679,1541634,"(33.033380000000001, -116.80086)"
San Francisco County,California,805235,38.5,697711,109842,408462,396773,"(37.766599999999997, -122.45108)"
San Joaquin County,California,685306,32.700000000000003,484582,71181,341230,344076,"(37.933259999999997, -121.30106000000001)"
San Luis Obispo County,California,269637,39.4,218796,41022,137999,131638,"(35.366639999999997, -120.53433)"
San Mateo County,California,718451,39.299999999999997,558679,96262,353168,365283,"(37.449939999999998, -122.35108)"
Santa Barbara County,California,423895,33.6,325848,54398,212786,211109,"(34.733319999999999, -120.03431)"
Santa Clara County,California,1781642,36.200000000000003,1352097,196944,893851,887791,"(37.233280000000001, -121.76773)"
Santa Cruz County,California,262382,36.9,206964,29158,130913,131469,"(37.066609999999997, -122.05107)"
Shasta County,California,177223,41.8,137571,29967,87130,90093,"(40.766539999999999, -122.03444)"
Sierra County,California,3240,50.9,2688,676,1646,1594,"(39.58323, -120.55105)"
Siskiyou County,California,44900,47,35575,8782,22395,22505,"(41.583199999999998, -122.51779999999999)"
Solano County,California,413344,36.9,311809,46847,206195,207149,"(38.233249999999998, -121.95107)"
Sonoma County,California,483878,39.9,377407,67364,237902,245976,"(38.549999999999997, -122.90111)"
Stanislaus County,California,514453,32.9,367295,54831,254489,259964,"(37.549930000000003, -121.0016)"
Sutter County,California,94737,34.5,68625,11990,47001,47736,"(39.016559999999998, -121.70108)"
Tehama County,California,63463,39.5,47303,10071,31610,31853,"(40.133209999999998, -122.30110999999999)"
Trinity County,California,13786,49.3,11266,2769,7113,6673,"(40.583199999999998, -123.16781)"
Tulare County,California,442179,29.6,298055,41779,221442,220737,"(36.26661, -118.80092999999999)"
Tuolumne County,California,55365,47.3,45683,11294,29245,26120,"(38.066589999999998, -119.90101)"
Ventura County,California,823318,36.200000000000003,611403,96309,408969,414349,"(34.466659999999997, -119.0176)"
Yolo County,California,200849,30.4,155218,19771,97935,102914,"(38.6999, -121.88441)"
Yuba County,California,72155,32.1,51165,7255,36352,35803,"(39.28322, -121.40107)"
Adams County,Colorado,441603,32.4,315480,36862,222142,219461,"(39.86665, -104.38385)"
Alamosa County,Colorado,15445,32.9,11617,1752,7745,7700,"(37.6, -105.80058)"
Arapahoe County,Colorado,572003,35.700000000000003,424679,57580,280345,291658,"(39.649979999999999, -104.38385)"
Archuleta County,Colorado,12084,48.4,9676,2116,6103,5981,"(37.183340000000001, -107.03393)"
Baca County,Colorado,3788,47.4,2974,911,1877,1911,"(37.333350000000003, -102.55047)"
Bent County,Colorado,6499,39.799999999999997,5403,888,4270,2229,"(37.966670000000001, -103.06715)"
Boulder County,Colorado,294567,35.799999999999997,231813,29521,147916,146651,"(40.083320000000001, -105.35055)"
Broomfield County,Colorado,55889,36.4,41237,5508,27729,28160,"(39.920540000000003, -105.08665000000001)"
Chaffee County,Colorado,17809,47.4,14821,3523,9453,8356,"(38.766660000000002, -106.18391)"
Cheyenne County,Colorado,1836,42.7,1386,328,910,926,"(38.83334, -102.60047)"
Clear Creek County,Colorado,9088,46.6,7517,1132,4735,4353,"(39.683320000000002, -105.65056)"
Conejos County,Colorado,8256,38.200000000000003,5920,1254,4093,4163,"(37.216670000000001, -106.18392)"
Costilla County,Colorado,3524,49,2788,807,1822,1702,"(37.266680000000001, -105.43389999999999)"
Crowley County,Colorado,5823,38.9,5034,614,4199,1624,"(38.35, -103.78384)"
Custer County,Colorado,4255,53.3,3525,954,2195,2060,"(38.116669999999999, -105.36722)"
Delta County,Colorado,30952,45.6,24101,6239,15590,15362,"(38.849980000000002, -107.85062000000001)"
Denver County,Colorado,600158,33.700000000000003,471392,62132,300089,300069,"(39.666649999999997, -104.95054)"
Dolores County,Colorado,2064,44.7,1602,388,1063,1001,"(37.766660000000002, -108.51730999999999)"
Douglas County,Colorado,285465,36.6,198453,20343,141253,144212,"(39.333320000000001, -104.95054)"
Eagle County,Colorado,52197,34,39397,2938,27820,24377,"(39.633319999999998, -106.70059000000001)"
Elbert County,Colorado,23086,43.8,17232,2193,11553,11533,"(39.299990000000001, -104.05051)"
El Paso County,Colorado,622263,34.1,459587,62051,310162,312101,"(38.833329999999997, -104.51719)"
Fremont County,Colorado,46824,43.6,38613,8244,27032,19792,"(38.483330000000002, -105.40055)"
Garfield County,Colorado,56389,34.5,41173,4717,29107,27282,"(39.549979999999998, -107.83396)"
Gilpin County,Colorado,5441,45.6,4482,514,2883,2558,"(39.849989999999998, -105.51721999999999)"
Grand County,Colorado,14843,41.2,11825,1519,7929,6914,"(40.066650000000003, -106.08391)"
Gunnison County,Colorado,15324,34.299999999999997,12544,1351,8306,7018,"(38.69999, -107.06726999999999)"
Hinsdale County,Colorado,843,47.1,675,147,443,400,"(37.85, -107.33394)"
Huerfano County,Colorado,6711,51.8,5523,1689,3332,3379,"(37.683340000000001, -104.95055000000001)"
Jackson County,Colorado,1394,47.3,1134,257,736,658,"(40.666640000000001, -106.33392000000001)"
Jefferson County,Colorado,534543,40.4,415453,67411,265317,269226,"(39.633319999999998, -105.26721000000001)"
Kiowa County,Colorado,1398,47.4,1084,300,687,711,"(38.433340000000001, -102.81713999999999)"
