County,State,Total population,Median age,Total population 18 and over,Total population 65 years and over,Male population,Female population,Location 1
Butler County,Kansas,65880,37.200000000000003,48129,8327,33178,32702,"(37.783349999999999, -96.833640000000003)"
Chase County,Kansas,2790,45.6,2175,591,1422,1368,"(38.300020000000004, -96.583619999999996)"
Chautauqua County,Kansas,3669,48.2,2911,896,1861,1808,"(37.15005, -96.233599999999996)"
Cherokee County,Kansas,21603,40.5,16214,3448,10740,10863,"(37.166730000000001, -94.850239999999999)"
Cheyenne County,Kansas,2726,50,2145,717,1375,1351,"(39.799990000000001, -101.80045)"
Clark County,Kansas,2215,44.9,1656,487,1074,1141,"(37.233359999999998, -99.833740000000006)"
Clay County,Kansas,8535,43.3,6514,1744,4225,4310,"(39.35, -97.166970000000006)"
Cloud County,Kansas,9533,42.2,7396,1948,4657,4876,"(39.483330000000002, -97.650319999999994)"
Coffey County,Kansas,8601,43,6514,1483,4252,4349,"(38.233350000000002, -95.733599999999996)"
Comanche County,Kansas,1891,47.4,1456,455,911,980,"(37.18336, -99.267060000000001)"
Cowley County,Kansas,36311,38.5,27441,5726,18111,18200,"(37.233359999999998, -96.833640000000003)"
Crawford County,Kansas,39134,32.6,30409,5463,19421,19713,"(37.516719999999999, -94.850239999999999)"
Decatur County,Kansas,2961,51.4,2406,808,1483,1478,"(39.80001, -100.46709)"
Dickinson County,Kansas,19754,41.4,14859,3566,9732,10022,"(38.883330000000001, -97.166960000000003)"
Doniphan County,Kansas,7945,39.6,6170,1286,4006,3939,"(39.799999999999997, -95.116919999999993)"
Douglas County,Kansas,110826,28.4,89695,9867,55573,55253,"(38.866669999999999, -95.233580000000003)"
Edwards County,Kansas,3037,44.8,2316,581,1511,1526,"(37.88335, -99.267060000000001)"
Elk County,Kansas,2882,48.8,2267,700,1428,1454,"(37.450040000000001, -96.233599999999996)"
Ellis County,Kansas,28452,32.200000000000003,22471,3829,14151,14301,"(38.916679999999999, -99.317049999999995)"
Ellsworth County,Kansas,6497,44.3,5280,1228,3649,2848,"(38.700009999999999, -98.200329999999994)"
Finney County,Kansas,36776,30.2,25000,3089,18452,18324,"(38.016689999999997, -100.6671)"
Ford County,Kansas,33848,30.4,23378,3377,17470,16378,"(37.700020000000002, -99.900409999999994)"
Franklin County,Kansas,25992,38.1,19242,3673,12873,13119,"(38.583350000000003, -95.283590000000004)"
Geary County,Kansas,34362,27.7,23745,2628,16994,17368,"(38.997219999999999, -96.66695)"
Gove County,Kansas,2695,48.3,2093,647,1348,1347,"(38.916679999999999, -100.48375)"
Graham County,Kansas,2597,49.4,2100,666,1270,1327,"(39.350009999999997, -99.88373)"
Grant County,Kansas,7829,32.799999999999997,5374,820,4000,3829,"(37.583350000000003, -101.33378)"
Gray County,Kansas,6006,34.700000000000003,4183,761,2950,3056,"(37.733359999999998, -100.43376000000001)"
Greeley County,Kansas,1247,46.6,981,261,595,652,"(38.466679999999997, -101.83378999999999)"
Greenwood County,Kansas,6689,46.7,5212,1485,3301,3388,"(37.866689999999998, -96.266949999999994)"
Hamilton County,Kansas,2690,33.5,1927,366,1364,1326,"(38.016680000000001, -101.66712)"
Harper County,Kansas,6034,44.1,4606,1307,2985,3049,"(37.200020000000002, -98.083669999999998)"
Harvey County,Kansas,34684,38.9,25831,5943,16937,17747,"(38.05001, -97.43365)"
Haskell County,Kansas,4256,34.299999999999997,2930,456,2130,2126,"(37.566690000000001, -100.86711)"
Hodgeman County,Kansas,1916,46.1,1456,396,958,958,"(38.083350000000003, -99.900409999999994)"
Jackson County,Kansas,13462,40.700000000000003,9888,2073,6744,6718,"(39.4, -95.833600000000004)"
Jefferson County,Kansas,19126,42.6,14401,2952,9698,9428,"(39.216670000000001, -95.40025)"
Jewell County,Kansas,3077,52.5,2500,863,1574,1503,"(39.80001, -98.23366)"
Johnson County,Kansas,544179,36.4,400823,59322,265733,278446,"(38.866669999999999, -94.866910000000004)"
Kearny County,Kansas,3977,35.5,2790,535,2021,1956,"(37.983350000000002, -101.31711)"
Kingman County,Kansas,7858,44.5,5958,1570,3898,3960,"(37.566679999999998, -98.133679999999998)"
Kiowa County,Kansas,2553,41.9,2003,482,1257,1296,"(37.566690000000001, -99.283720000000002)"
Labette County,Kansas,21607,40.5,16345,3587,10697,10910,"(37.200069999999997, -95.283580000000001)"
Lane County,Kansas,1750,46.1,1356,369,856,894,"(38.466679999999997, -100.46708)"
Leavenworth County,Kansas,76227,37.4,57080,8426,40466,35761,"(39.233330000000002, -95.033580000000001)"
Lincoln County,Kansas,3241,46.4,2461,659,1618,1623,"(39.05001, -98.200329999999994)"
Linn County,Kansas,9656,44.8,7416,1867,4842,4814,"(38.21669, -94.850239999999999)"
Logan County,Kansas,2756,44.9,2127,572,1363,1393,"(38.900010000000002, -101.13377)"
Lyon County,Kansas,33690,32.5,25750,4213,16489,17201,"(38.450009999999999, -96.150270000000006)"
McPherson County,Kansas,29180,41.4,22322,5339,14334,14846,"(38.400010000000002, -97.666989999999998)"
Marion County,Kansas,12660,44.6,9794,2641,6372,6288,"(38.400010000000002, -97.150300000000001)"
Marshall County,Kansas,10117,45.2,7781,2134,5003,5114,"(39.799999999999997, -96.550290000000004)"
Meade County,Kansas,4575,38.799999999999997,3247,785,2324,2251,"(37.233359999999998, -100.36709)"
Miami County,Kansas,32787,39.5,23944,4287,16201,16586,"(38.583350000000003, -94.850239999999999)"
Mitchell County,Kansas,6373,45.6,5006,1341,3218,3155,"(39.400010000000002, -98.200329999999994)"
Montgomery County,Kansas,35471,39.9,27072,6156,17404,18067,"(37.200069999999997, -95.733590000000007)"
Morris County,Kansas,5923,47.2,4651,1322,2955,2968,"(38.700009999999999, -96.633619999999993)"
Morton County,Kansas,3233,38.9,2360,548,1572,1661,"(37.200020000000002, -101.80043999999999)"
Nemaha County,Kansas,10178,42.5,7511,2049,5145,5033,"(39.799999999999997, -96.016940000000005)"
Neosho County,Kansas,16512,40.200000000000003,12430,2866,8151,8361,"(37.566719999999997, -95.283590000000004)"
Ness County,Kansas,3107,48.2,2411,763,1559,1548,"(38.466679999999997, -99.917069999999995)"
Norton County,Kansas,5671,43.5,4538,1057,3170,2501,"(39.80001, -99.917069999999995)"
Osage County,Kansas,16295,42.8,12248,2773,8098,8197,"(38.650010000000002, -95.733599999999996)"
Osborne County,Kansas,3858,48.2,3044,974,1918,1940,"(39.350009999999997, -98.783690000000007)"
Ottawa County,Kansas,6091,42.7,4542,1066,3144,2947,"(39.133330000000001, -97.666979999999995)"
Pawnee County,Kansas,6973,43.2,5445,1215,3870,3103,"(38.150010000000002, -99.200379999999996)"
Phillips County,Kansas,5642,45.3,4275,1140,2794,2848,"(39.80001, -99.350380000000001)"
Pottawatomie County,Kansas,21604,34.799999999999997,15193,2660,10716,10888,"(39.333329999999997, -96.300280000000001)"
Pratt County,Kansas,9656,40.9,7451,1822,4761,4895,"(37.650019999999998, -98.733699999999999)"
Rawlins County,Kansas,2519,51.3,2044,672,1255,1264,"(39.799999999999997, -101.10044000000001)"
Reno County,Kansas,64511,39.9,49275,10994,32315,32196,"(37.950009999999999, -98.083669999999998)"
Republic County,Kansas,4980,50.6,4018,1347,2447,2533,"(39.80001, -97.633650000000003)"
Rice County,Kansas,10083,39.299999999999997,7674,1801,5066,5017,"(38.350009999999997, -98.200339999999997)"
Riley County,Kansas,71115,24.3,57947,5208,37040,34075,"(39.333329999999997, -96.700289999999995)"
Rooks County,Kansas,5181,44.1,3957,1024,2533,2648,"(39.350009999999997, -99.317040000000006)"
Rush County,Kansas,3307,48.7,2666,796,1630,1677,"(38.516680000000001, -99.300380000000004)"
Russell County,Kansas,6970,46.5,5487,1588,3443,3527,"(38.916679999999999, -98.767020000000002)"
Saline County,Kansas,55606,37.799999999999997,41670,8002,27675,27931,"(38.783340000000003, -97.666979999999995)"
Scott County,Kansas,4936,41.4,3700,900,2487,2449,"(38.46669, -100.90043)"
Sedgwick County,Kansas,498365,34.200000000000003,362989,56969,246042,252323,"(37.716679999999997, -97.450320000000005)"
Seward County,Kansas,22952,28.9,15617,1948,11830,11122,"(37.200020000000002, -100.83377)"
Shawnee County,Kansas,177934,38.1,133763,25612,85996,91938,"(39.049999999999997, -95.766930000000002)"
Sheridan County,Kansas,2556,46.9,1953,563,1300,1256,"(39.35, -100.43375)"
Sherman County,Kansas,6010,42.1,4660,1145,3005,3005,"(39.35, -101.71711999999999)"
Smith County,Kansas,3853,49.6,3079,1018,1889,1964,"(39.833350000000003, -98.750630000000001)"
Stafford County,Kansas,4437,45.6,3400,930,2211,2226,"(38.066679999999998, -98.717029999999994)"
Stanton County,Kansas,2235,35.6,1585,348,1141,1094,"(37.566679999999998, -101.78377999999999)"
Stevens County,Kansas,5724,34.4,3973,752,2840,2884,"(37.200020000000002, -101.30043999999999)"
Sumner County,Kansas,24132,40.5,17818,3786,12039,12093,"(37.233359999999998, -97.48366)"
Thomas County,Kansas,7900,36.6,6056,1216,3884,4016,"(39.35, -101.05043000000001)"
Trego County,Kansas,3001,49.3,2402,703,1481,1520,"(38.916679999999999, -99.88373)"
Wabaunsee County,Kansas,7053,42.6,5261,1111,3593,3460,"(39.129170000000002, -95.996099999999998)"
Wallace County,Kansas,1485,45.4,1111,303,742,743,"(38.916679999999999, -101.76712000000001)"
Washington County,Kansas,5799,46.4,4471,1343,2939,2860,"(39.799999999999997, -97.100309999999993)"
Wichita County,Kansas,2234,40.299999999999997,1626,401,1143,1091,"(38.46669, -101.35044000000001)"
Wilson County,Kansas,9409,43.1,7116,1813,4622,4787,"(37.566719999999997, -95.733590000000007)"
Woodson County,Kansas,3309,48.2,2651,750,1655,1654,"(37.883369999999999, -95.733599999999996)"
Wyandotte County,Kansas,157505,32.799999999999997,113070,16805,77702,79803,"(39.116669999999999, -94.716899999999995)"
Adair County,Kentucky,18656,39,14450,2859,9208,9448,"(37.116729999999997, -85.299959999999999)"
Allen County,Kentucky,19956,39.200000000000003,15069,2931,9805,10151,"(36.750599999999999, -86.19999)"
Anderson County,Kentucky,21421,38.4,15975,2579,10468,10953,"(38.000630000000001, -84.966620000000006)"
Ballard County,Kentucky,8249,42.4,6421,1450,4096,4153,"(37.050049999999999, -89.000619999999998)"
Barren County,Kentucky,42173,39.700000000000003,31957,6500,20464,21709,"(36.950049999999997, -85.949979999999996)"
Bath County,Kentucky,11591,39.9,8725,1706,5751,5840,"(38.150080000000003, -83.750470000000007)"
Bell County,Kentucky,28691,41,22462,4508,13937,14754,"(36.750639999999997, -83.683250000000001)"
Boone County,Kentucky,118811,35.700000000000003,85232,11313,58782,60029,"(38.866729999999997, -84.633279999999999)"
Bourbon County,Kentucky,19985,40.700000000000003,15172,3049,9742,10243,"(38.20008, -84.2166)"
Boyd County,Kentucky,49542,41.8,38949,8242,24622,24920,"(38.366750000000003, -82.683220000000006)"
Boyle County,Kentucky,28432,40.6,22274,4608,13833,14599,"(37.633409999999998, -84.866619999999998)"
Bracken County,Kentucky,8488,39.200000000000003,6336,1159,4228,4260,"(38.683410000000002, -84.083259999999996)"
Breathitt County,Kentucky,13878,40,10658,1866,6934,6944,"(37.53342, -83.316569999999999)"
Breckinridge County,Kentucky,20059,41.6,15209,3131,10000,10059,"(37.7834, -86.266639999999995)"
Bullitt County,Kentucky,74319,38.200000000000003,55536,8287,36782,37537,"(37.966729999999998, -85.716629999999995)"
Butler County,Kentucky,12690,40.1,9764,2005,6358,6332,"(37.233379999999997, -86.683319999999995)"
Caldwell County,Kentucky,12984,42.6,10099,2314,6258,6726,"(37.15005, -87.850009999999997)"
Calloway County,Kentucky,37191,34,30479,5620,17925,19266,"(36.633389999999999, -88.2667)"
Campbell County,Kentucky,90336,37,69736,11557,44269,46067,"(38.950060000000001, -84.383269999999996)"
